Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Latin America and the Caribbean,º Latin America and the Caribbean,1966,BiocapTotGHA,8893207.03283465,0,117829586.985078,163535506.130295,2200499912.81278,384305984.880682,2875064197.84167,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1967,BiocapTotGHA,9474546.61663164,0,124980926.287293,163059168.871757,2193163913.65712,385791259.335104,2876469814.7679,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1967,EFConsTotGHA,9474546.61663164,112043752.69025,107271597.918648,20472281.6247554,90871332.2109308,225859214.382771,565992725.443987,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1968,BiocapTotGHA,9382743.65891221,0,122957193.445972,162737347.824793,2179905609.58486,387994374.161526,2862977268.67606,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1968,EFConsTotGHA,9382743.65891221,123998392.337394,105713969.480634,19645212.4425178,95018969.3088641,226597448.24215,580356735.470473,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1969,EFConsTotGHA,9701905.94629041,136464016.885388,106688823.314209,19495489.823884,96644658.6231387,218876322.946839,587871217.539748,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1969,BiocapTotGHA,9701905.94629041,0,127488516.942885,161603156.597743,2168662452.32494,392263189.775646,2859719221.5875,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1970,BiocapTotGHA,10535525.1596089,0,136827011.795323,161938341.855208,2158958800.22366,393462730.7336,2861722409.76741,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1970,EFConsTotGHA,10535525.1596089,153951939.531063,113084249.857718,23288092.7056125,100411043.266,225427281.147703,626698131.667706,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1971,EFConsTotGHA,10966623.76929,165564588.011687,122780426.759115,24254579.0498082,102417527.940962,237576272.259187,663560017.790049,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1971,BiocapTotGHA,10966623.76929,0,143188216.000972,166765707.955383,2147557524.82677,398363273.084727,2866841345.63714,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1972,EFConsTotGHA,10749029.3309598,179645720.698052,121271358.645542,19199633.5209189,103009908.732295,243662851.373521,677538502.301288,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1972,BiocapTotGHA,10749029.3309598,0,138317570.479948,167338223.694149,2140045121.61536,402805678.16091,2859255623.28133,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1973,BiocapTotGHA,11239187.0204616,0,144181642.692399,166313524.695239,2135081883.28331,403081309.150957,2859897546.84238,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1973,EFConsTotGHA,11239187.0204616,204251652.810908,123841520.545784,20327196.1825165,103226656.910145,253446281.898837,716332495.36865,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1974,BiocapTotGHA,11954119.6479337,0,152576028.388181,166881259.499843,2123606260.14217,407553383.813123,2862571051.49125,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1974,EFConsTotGHA,11954119.6479337,221820789.542504,136395837.291752,20733450.1752898,107382884.913068,277504587.530746,775791669.101295,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1975,BiocapTotGHA,12126333.8675591,0,153106990.894293,166788500.548437,2115964341.77061,410334768.077667,2858320935.15857,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1975,EFConsTotGHA,12126333.8675591,221970238.086128,135373851.245034,18567423.5562222,111416932.527498,281869697.641817,781324476.924257,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1976,EFConsTotGHA,12505748.8784886,237072392.314263,131633225.958583,21136902.3725227,115785872.261235,288006051.469852,806140193.254943,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1976,BiocapTotGHA,12505748.8784886,0,158429493.425207,166581956.319236,2105681852.12849,411866476.441115,2855065527.19253,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1977,EFConsTotGHA,13192415.1408257,251177454.931141,134371877.610149,22619336.2253158,119250831.114682,295823163.733471,836435078.755585,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1977,BiocapTotGHA,13192415.1408257,0,163885807.304618,167349848.476721,2098807288.32956,416186081.891427,2859421441.14315,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1978,EFConsTotGHA,13966464.5283762,264206770.482322,146580333.709375,30444681.830698,122315349.554699,291122831.8775,868636431.98297,,null
Latin America and the Caribbean,º Latin America and the Caribbean,1978,BiocapTotGHA,13966464.5283762,0,173099545.60236,167600047.791635,2085996338.23041,417839372.283705,2858501768.4365,,null
